timestamp,commute
2021-07-05 06:00:02.534504,3062
2021-07-05 06:05:01.593566,3062
2021-07-05 06:10:02.389713,3062
2021-07-05 06:15:02.235012,3062
2021-07-05 06:20:02.405572,3062
2021-07-05 06:25:01.110165,3062
2021-07-05 06:30:01.752538,3062
2021-07-05 06:35:01.841399,3062
2021-07-05 06:40:00.350024,3062
2021-07-05 06:45:01.086302,3062
2021-07-05 06:50:00.904069,3062
2021-07-05 06:55:00.938842,3062
2021-07-05 07:00:00.407699,3062
2021-07-05 07:05:00.307032,3062
2021-07-05 07:10:02.465798,3062
2021-07-05 07:15:01.196975,3062
2021-07-05 07:20:01.037216,3062
2021-07-05 07:25:00.586615,3062
2021-07-05 07:30:01.497559,3062
2021-07-05 07:35:01.236162,3062
2021-07-05 07:40:01.134982,3062
2021-07-05 07:45:01.144908,3062
2021-07-05 07:50:01.792146,3062
2021-07-05 07:55:00.732817,3062
2021-07-05 08:00:00.321300,3062
2021-07-05 08:05:01.149307,3062
2021-07-05 08:10:01.723967,3062
2021-07-05 08:15:01.642870,3062
2021-07-05 08:20:01.694514,3062
2021-07-05 08:25:02.103104,3062
2021-07-05 08:30:02.123889,3062
2021-07-05 08:35:01.829054,3062
2021-07-05 08:40:01.449596,3062
2021-07-05 08:45:02.021778,3062
2021-07-05 08:50:01.664990,3062
2021-07-05 08:55:01.942539,3062
2021-07-05 09:00:01.652867,3062
2021-07-05 09:05:01.973001,3062
2021-07-05 09:10:01.662288,3062
2021-07-05 09:15:01.769276,3062
2021-07-05 09:20:01.225111,3062
2021-07-05 09:25:01.394430,3062
2021-07-05 09:55:00.498705,3062
2021-07-05 15:10:01.639063,3247
2021-07-05 15:15:01.562248,3247
2021-07-05 15:20:02.355161,3247
2021-07-05 15:25:01.474093,3247
2021-07-05 15:30:00.852894,3247
2021-07-05 15:35:02.237850,3247
2021-07-05 15:40:01.000780,3247
2021-07-05 15:45:01.357399,3247
2021-07-05 15:50:01.314741,3247
2021-07-05 15:55:03.005648,3247
2021-07-05 16:00:00.633808,3247
2021-07-05 16:05:01.563569,3247
2021-07-05 16:10:00.507401,3247
2021-07-05 16:15:02.367350,3247
2021-07-05 16:20:03.302380,3247
2021-07-05 16:25:00.480959,3247
2021-07-05 16:30:02.307254,3247
2021-07-05 16:35:01.667690,3247
2021-07-05 16:40:01.702693,3247
2021-07-05 16:45:01.478595,3247
2021-07-05 17:20:01.609560,3247
2021-07-05 17:25:02.481246,3247
2021-07-05 17:30:01.151824,3247
2021-07-05 17:35:00.640675,3247
2021-07-05 17:40:01.781712,3247
2021-07-05 17:45:03.719363,3247
2021-07-05 17:50:01.692312,3247
2021-07-05 17:55:01.739551,3247
2021-07-05 18:00:01.108458,3247
2021-07-05 18:05:01.761218,3247
2021-07-05 18:10:01.513368,3247
2021-07-05 18:15:02.327773,3247
2021-07-05 18:20:01.725798,3247
2021-07-05 18:25:07.279466,3247
2021-07-05 18:30:01.538233,3247
2021-07-05 18:35:02.092184,3247
2021-07-05 18:40:01.835543,3247
2021-07-05 18:45:01.762518,3247
2021-07-05 18:50:05.499823,3247
2021-07-05 18:55:05.817349,3247
2021-07-06 06:00:02.087568,3062
2021-07-06 06:05:02.209555,3062
2021-07-06 06:10:01.970504,3062
2021-07-06 06:15:01.922048,3062
2021-07-06 06:20:02.091389,3062
2021-07-06 06:25:01.632983,3062
2021-07-06 06:30:02.435629,3062
2021-07-06 06:35:01.554694,3062
2021-07-06 06:40:01.107404,3062
